x,y,z, ,vx,vy,vz
0,0,0, ,0.1,0.1,0
0.0017,0.0017,2.89e-05, ,0.1,0.1,0.0017
0.00339951,0.0034,8.67e-05, ,0.0999711,0.1,0.0034
0.00509804,0.0051,0.000173392, ,0.0999133,0.1,0.00509951
0.00679509,0.0068,0.000288958, ,0.0998266,0.1,0.00679803
0.00849018,0.0085,0.000433375, ,0.099711,0.1,0.00849509
0.0101828,0.0102,0.000606608, ,0.0995666,0.1,0.0101902
0.0118725,0.0119,0.000808616, ,0.0993934,0.1,0.0118828
0.0135587,0.0136,0.00103935, ,0.0991914,0.1,0.0135725
0.0152411,0.0153,0.00129875, ,0.0989607,0.1,0.0152587
0.016919,0.017,0.00158675, ,0.0987013,0.1,0.0169411
0.018592,0.0187,0.00190327, ,0.0984133,0.1,0.018619
0.0202597,0.0204,0.00224823, ,0.0980967,0.1,0.020292
0.0219215,0.0221,0.00262155, ,0.0977518,0.1,0.0219597
0.0235769,0.0238,0.00302311, ,0.0973785,0.1,0.0236215
0.0252255,0.0255,0.00345282, ,0.0969769,0.1,0.0252769
0.0268668,0.0272,0.00391055, ,0.0965472,0.1,0.0269255
0.0285003,0.0289,0.00439619, ,0.0960895,0.1,0.0285668
0.0301256,0.0306,0.00490959, ,0.0956038,0.1,0.0302003
0.0317421,0.0323,0.00545063, ,0.0950904,0.1,0.0318256
0.0333495,0.034,0.00601914, ,0.0945494,0.1,0.0334421
0.0349471,0.0357,0.00661498, ,0.0939809,0.1,0.0350495
0.0365347,0.0374,0.00723799, ,0.093385,0.1,0.0366471
0.0381116,0.0391,0.00788798, ,0.092762,0.1,0.0382347
0.0396775,0.0408,0.00856477, ,0.092112,0.1,0.0398116
0.0412319,0.0425,0.00926819, ,0.0914352,0.1,0.0413775
0.0427744,0.0442,0.00999803, ,0.0907318,0.1,0.0429319
0.0443044,0.0459,0.0107541, ,0.090002,0.1,0.0444744
0.0458216,0.0476,0.0115362, ,0.0892459,0.1,0.0460044
